F10-098,"Chapa B.Carb 25,40mm / 1""",1500x2440,0,1427," R$  3,80 ","0,00",13/02/2019
F10-099,"Metalon B.Carb 15X15X0,9mm",6000mm,0,40," R$  5,65 ","0,05",14/02/2019
F10-099,"Chapa B.Carb 22,40mm / 7/8""",6000mm,0,11," R$  5,15 ","0,05",14/02/2019
F10-099,"Tubo B.Carb 25,40 X 1,20mm / 1""",6000mm,0,44," R$  5,15 ","0,05",14/02/2019
F10-099,"Tubo B.Carb 38,10 X 2,00mm / 1 1/2""",6000mm,0,108," R$  5,15 ","0,05",14/02/2019
F10-100,"Tubo B.Carb 76,20 X 3,75mm / 3""",6000mm,0,445," R$  5,90 ","0,05",14/02/2019
F10-101,"Ferro Redondo A36 3/4""",6000mm,80,1075," R$  4,02 ","0,00",18/02/2019
F10-102,"Chapa Aluminio Liso 2,50mm",1250x3000mm,0,25," R$  21,50 ","0,05",19/02/2019
F10-103,"Tubo B.Carb 15,87 X 1,20mm / 5/8""",6000mm,0,6," R$  5,23 ","0,00",19/02/2019
F10-104,"Ferro Quadrado B.Carb 1""",1131mm,6,53," R$  13,21 ","0,00",20/02/2019
F10-105,"Chapa Aluminio Xadrez 1,5mm / #16",1000x2000mm,1,16," R$  22,00 ","0,05",21/02/2019
F10-105,"Chapa Aluminio Liso 1,50mm",1000x3000mm,1,13," R$  19,50 ","0,05",21/02/2019
F10-105,"Chapa Aluminio Xadrez 2,70mm",1250x3000mm,4,132," R$  22,00 ","0,05",21/02/2019
F10-106,"Chapa B.Carb Galv 1,25mm / #18",1200x3000mm,45,1440," R$  4,00 ","0,00",26/02/2019
F10-107,"Ferro Redondo A36 3/4""",6000mm,56,750," R$  4,00 ","0,00",06/03/2019
F10-108,"Chapa B.Carb Xadrez 6,35mm / 1/4""",1200x6000mm,9,3500," R$  4,40 ","0,00",04/03/2019
F10-109,"Ferro Redondo A36 3/4""",6000mm,56,750," R$  4,00 ","0,00",06/03/2019
F10-110,"Tubo B.Carb 50,80 X 1,50mm / 2""",6000mm,5,55," R$  5,15 ","0,05",07/03/2019
F10-110,"Tubo B.Carb 50,80 X 2,65mm / 2""",6000mm,5,94," R$  5,15 ","0,05",07/03/2019
F10-111,"Chapa B.Carb 4,75mm / 3/16""",1200x3000mm,0,2000," R$  3,90 ","0,00",08/03/2019
F10-111,"Chapa B.Carb 1,50mm / #16 / FF",1200x3000mm,0,2000," R$  4,10 ","0,00",08/03/2019
F10-112,"Chapa Inox 304 1,00mm / DECAPADO",1200x3000mm,1,30," R$  21,41 ","0,00",15/03/2019
F10-113,"Chapa B.Carb 6,35mm / 1/4""",1200x3000mm,0,2000," R$  3,74 ","0,05",01/04/2019
F10-114,"Chapa B.Carb 2,00mm / #14 / FF",1200x3000mm,4,230," R$  3,90 ","0,00",15/03/2019
F10-115,"Ferro Chato B.Carb 2 1/2"" X 5/8""",6000mm,2,96," R$  4,45 ","0,05",15/03/2019
F10-116,"Tubo B.Carb 38,10 X 2,00mm / 1 1/2""",6000mm,1,11," R$  5,60 ","0,00",18/03/2019
F10-117,"Chapa B.Carb 12,70mm / 1/2""",OP23322,8,14," R$  6,50 ","0,00",15/03/2019
F10-118,"Chapa Aluminio Liso 2,00mm / #14",1000x2000mm,1,11," R$  19,80 ","0,05",18/03/2019
F10-118,"Chapa Aluminio Liso 1,20mm",1250x3000mm,2,28," R$  19,80 ","0,05",18/03/2019
F10-118,"Chapa Aluminio Liso 1,50mm",1000x3000mm,3,38," R$  19,80 ","0,05",18/03/2019
F10-119,"Chapa B.Carb 19,00mm / 3/4""",Ø157xØ99,2,8," R$  56,00 ","0,00",18/03/2019
F10-119,"Chapa B.Carb 8,00mm / 5/16""",160x115,2,2," R$  20,00 ","0,00",18/03/2019
F10-119,"Chapa B.Carb 8,00mm / 5/16""",300x296xØ99,2,11," R$  40,00 ","0,00",18/03/2019
F10-119,"Chapa B.Carb 8,00mm / 5/16""",90x99,2,1," R$  22,00 ","0,00",18/03/2019
F10-120,"Chapa B.Carb 2,00mm / #14 / FF",1200x3000mm,0,2000," R$  3,90 ","0,00",21/03/2019
F10-121,"Tubo B.Carb 25,40 X 1,50mm / 1""",6000mm,20,106," R$  5,15 ","0,05",25/03/2019
F10-122,"Ferro Quadrado 1045 1 1/4""",3000mm,2,48," R$  12,99 ","0,00",26/03/2019
F10-123,"Ferro Chato B.Carb 2 1/2"" X 5/8""",6000mm,4,192," R$  4,35 ","0,00",29/03/2019
F10-123,"Ferro Redondo B.Carb 3/4""",6000mm,5,67," R$  4,35 ","0,00",29/03/2019
F10-124,"Chapa B.Carb 12,70mm / 1/2""",1500x6000mm,4,3658," R$  3,20 ","0,00",03/04/2019
F10-125,"Chapa B.Carb 19,00mm / 3/4""",2440x6000mm,1,1368," R$  3,90 ","0,00",03/04/2019
F10-125,"Chapa B.Carb Xadrez 3,00mm / #11 / 1/8""",1200x3000mm,20,1944," R$  4,10 ","0,00",03/04/2019
F10-126,"Chapa B.Carb 4,75mm / 3/16""",1200x3000mm,30,4104," R$  3,68 ","0,00",02/04/2019
F10-127,"Chapa B.Carb 16,00mm / 5/8""",1250x3000mm,2,1845," R$  3,90 ","0,05",05/04/2019
F10-127,"Chapa B.Carb 22,40mm / 7/8""",1250x3000mm,2,1532," R$  3,90 ","0,05",05/04/2019
F10-128,"Metalon B.Carb 50X30X1,2mm",6000mm,5,44," R$  5,15 ","0,05",10/04/2019
F10-128,"Tubo B.Carb 25,40 X 1,20mm / 1""",6000mm,5,22," R$  5,15 ","0,05",10/04/2019
F10-128,"Tubo B.Carb 31,80 X 1,50mm / 1 1/4""",6000mm,5,41," R$  5,15 ","0,05",10/04/2019
F10-129,"Chapa B.Carb 4,75mm / 3/16""",1500x3000mm,35,5985," R$  3,90 ","0,00",17/04/2019
F10-130,"Chapa B.Carb 1,50mm / #16 / FF",1250x3000mm,0,2000," R$  4,14 ","0,05",23/04/2019
F10-130,"Chapa B.Carb Galv 1,95mm / #14",1250x3000mm,0,1000," R$  5,34 ","0,05",23/04/2019
F10-131,"Chapa 1045 16,00mm / 5/8""",1200x3000mm,2,940," R$  4,45 ","0,05",30/04/2019
F10-131,"Chapa 1045 8,00mm / 5/16""",1200x3000mm,9,2000," R$  4,45 ","0,05",30/04/2019
F10-132,"Ferro Redondo B.Carb 3/4""",6000mm,40,538," R$  4,10 ","0,00",26/04/2019
F10-132,"Ferro Redondo B.Carb 7/8""",6000mm,50,915," R$  4,10 ","0,00",26/04/2019
F10-133,"Tubo B.Carb 25,40 X 2,00mm / 1""",6000mm,5,36," R$  5,25 ","0,05",25/04/2019
F10-133,"Metalon B.Carb 30X30X1,2mm",6000mm,8,53," R$  5,25 ","0,05",25/04/2019
F10-134,"Chapa B.Carb 4,75mm / 3/16"" EXPANDIDA MALHA 50X100","1200x2000mm
MALHA 50X100",2,23," R$  8,30 ","0,05",26/04/2019
F10-134,"Chapa B.Carb 4,75mm / 3/16"" EXPANDIDA MALHA 50X100","1000x2000mm
MALHA 50X100",4,38," R$  8,30 ","0,05",26/04/2019
